TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
6.130068027,0.27961,0.299327,0.211233,1.15045,0.0390824,0.439875,0.155209,2.09659,0.567228,0.11168,2.12701,0
6.176507937,0.289576,0.0580202,0.131693,0.979614,0.0423588,0.345088,0.313693,2.06635,0.715157,0.061869,2.14764,0
6.222947846,1.0739,0.0264574,0.077117,0.93657,0.0409597,0.320437,0.379352,1.81244,0.946271,0.0552129,2.09009,0
6.269387755,1.29963,0.042632,0.00206498,1.00487,0.0222715,0.22944,0.46854,1.67624,0.963798,0.142227,2.03323,0.0206743
6.315827664,1.05476,0.0339453,0.00469354,0.916177,0.00255788,0.21873,0.4581,1.67314,0.658239,0.409516,2.16803,0.0768152
6.362267574,0.70395,0.232974,0.00524091,0.836785,0.00433803,0.184225,0.325904,1.74181,0.260974,0.483536,2.23653,0.0945189
6.408707483,0.282433,0.171908,0.00377537,1.00743,0.0620133,0.259699,0.378616,2.22225,0.280566,0.48166,2.08225,0.0706421
6.455147392,0.290491,0.00303431,1.17637,0.830039,0.0334331,0.234,0.171392,2.71605,0.0771791,0.00768799,2.03381,0.0892157
6.501587302,0.310428,0.00114109,1.86402,0.664948,0.0270894,0.168942,0.119963,2.56587,0.037801,0.00666932,1.91474,0.0840037
6.548027211,0.301882,0,2.07943,0.549568,0.0262028,0.166909,0.0692884,2.4961,0.0192154,0.011738,1.95597,0.11107
6.594467120,0.273854,0.00303921,2.13046,0.467977,0.0194792,0.211428,0.0135911,2.73065,0.0204595,0.0361758,1.96946,0.124013
6.640907029,0.271675,0.00220919,2.18082,0.539672,0,0.186839,0.0201503,2.93099,0.0205834,0.00717778,1.83913,0.123185
6.687346939,0.280046,0.0144716,2.15548,0.553121,0.028978,0.152309,0.00820169,3.10771,0.0357458,0.00791764,1.70242,0.0730662
6.733786848,0.275519,0.0327985,2.0436,0.387913,0.0542753,0.168237,0.0112785,3.23394,0.110398,0.00843243,1.81159,0
6.780226757,0.288253,0.00180371,2.00048,0.360074,0.0577555,0.193611,0.00696613,3.17996,0.131026,0.0157639,1.90281,0
6.826666667,0.26931,0.0117615,1.98531,0.547241,0.0620335,0.586322,0,3.25211,0.0898303,0.0965785,1.81673,0
6.873106576,0.328576,0.00453306,2.00411,0.666539,0.0987559,0.427652,0,3.32763,0.0582782,0.128775,1.63001,0
6.919546485,0.383224,0.00355505,2.05091,0.737011,0.11491,0.235017,0.00308802,3.38999,0.0376299,0.136746,1.50215,0
6.965986395,0.294446,0.00318729,2.12304,0.753974,0.114407,0.258111,0.00736795,3.37009,0.035202,0.13233,1.40994,0
7.012426304,0.287422,0.00214563,2.23444,0.691443,0.111974,0.402092,0.00612633,3.12382,0.0519672,0.12158,1.42056,0
7.058866213,0.311938,0.000481489,2.25073,0.690692,0.115373,0.349861,0.0976601,2.8354,0.0727485,0.102719,1.38422,0
7.105306122,0.334767,0.00318347,2.24724,0.767349,0.111269,0.0216719,0.0908533,2.69327,0.0790479,0.118412,1.28731,0
7.151746032,0.365855,0.0380903,2.36618,0.701392,0.0800274,0.0332545,0.0317754,2.44861,0.0949931,0.224815,1.07483,0
7.198185941,0.439769,0.0147192,2.32412,0.561919,0.0479073,0.0444148,0.0228916,2.69629,0.0982817,0.273635,1.01056,0
7.244625850,0.442359,0.000280231,2.26227,0.633305,0.0296625,0.0670857,0.0566091,2.82791,0.0870821,0.264225,1.075,0
7.291065760,1.50499,0.000844813,1.77881,0.85525,0.0412485,0.49456,0.0962641,2.85949,0.0353432,0.242492,0.903552,0
7.337505669,2.11418,0.000373889,1.53795,0.003821,0.0525879,1.64018,0.0883358,2.33437,0.0301956,0.106384,0.914929,0
7.383945578,2.55252,0.000506319,1.25039,0.026563,0.0762662,2.2196,0.131886,1.81046,0.0177979,0.0582675,0.455412,0
7.430385488,2.72912,0.000914117,1.0376,0.0776223,0.0606404,2.59455,0.130475,1.65017,0.033477,0.0132164,0.28659,0
7.476825397,2.80712,0.00194435,0.881013,0.0975244,0.00982763,2.71074,0.0991862,1.64983,0.05623,0.055641,0.3196,0.0314789
7.523265306,2.87535,0.0019472,0.803124,0.0970912,0,2.68797,0.073434,1.8751,0.0945556,0.0697042,0.293709,0
7.569705215,2.82988,0.000865806,0.821297,0.102862,0.0182041,2.64518,0.0889961,1.95814,0.102465,0.0728585,0.210844,0
7.616145125,2.80473,0.0001163,0.689782,0.0669815,0.0399658,2.53047,0.0874671,1.85131,0.104958,0.0891111,0.198782,0
7.662585034,2.87747,0,0.575357,0.0241838,0.0526149,2.47459,0.0648818,1.7021,0.0967162,0.130699,0.345857,0
7.709024943,2.82816,0,0.565345,0.0353829,0.0302183,2.59699,0.0441324,1.73677,0.0872515,0.072556,0.417669,0.0274772
7.755464853,2.78126,0,0.510366,0.0805088,0.0188493,2.75917,0.035366,1.66984,0.105528,0.00358355,0.462519,0
7.801904762,2.72657,0,0.464597,0.120298,0.0215859,2.91426,0.00457967,1.5005,0.118899,0.0485112,0.459368,0
7.848344671,2.64272,0,0.222311,0.131589,0.0134747,3.28764,0,1.48684,0.134599,0.212363,0.326177,0
7.894784580,2.55489,0,0.155262,0.109636,0.0127068,3.58202,0,1.22403,0.105136,0.585374,0.193188,0
7.941224490,2.80307,0.00243088,0.169223,0.0574541,0.0140008,3.38402,0.00712645,1.0631,0.0206551,0.734911,0.307397,0
7.987664399,2.78711,0.00174664,0.280712,0.0122632,0.016844,3.23581,0.0216237,0.956672,0.0415202,0.708791,0.327751,0
8.034104308,2.46751,0.000521027,0.40255,0,0.0153997,3.17742,0.019219,0.885762,0.0544521,0.63633,0.29083,0
8.080544218,2.44649,0.000381522,0.655941,0,0.00975918,3.24108,0.0303296,0.618107,0.061865,0.643921,0.229105,0
8.126984127,2.48657,0.000346796,0.707047,0,0,3.28705,0.0774627,0.451497,0.0682361,0.638536,0.117084,0
8.173424036,2.52962,5.92727e-05,0.658003,0.0322837,0,3.3061,0.103669,0.39729,0.0707102,0.588522,0.028265,0.018361
8.219863946,2.59071,0.000411564,0.358838,0.0631831,0,3.35741,0.110522,0.553237,0.0419557,0.572238,0.00974696,0.0411458
8.266303855,2.46595,0.000675193,0.0472495,0.0687651,0.0118985,3.42786,0.0641691,0.949895,0.0923103,0.541062,0.00907924,0.000151359
8.312743764,2.46751,0.00081364,0.00213177,0.0805353,0.0167511,3.51203,0.0546379,0.992487,0.0803834,0.502475,0.0187497,4.17455e-05
8.359183673,2.6764,0.00161377,0.00160935,0.0829697,0,3.63215,0.0454752,0.705886,0.0357174,0.466884,0.0182552,0
8.405623583,2.6612,0.00134156,0.000749992,0.0758929,0,3.84038,0.0634723,0.471779,0.0250681,0.304831,0.0180028,0.00879853
8.452063492,2.63348,0,0,0.0388217,0.00969721,3.86326,0.0696479,0.392193,0.0229103,0.00178709,0.0287195,0.02157
8.498503401,2.66224,0.00870667,0,0.00766385,0.0317293,3.70531,0.0974844,0.541861,0.0177282,0.00404806,0.211546,0
8.544943311,2.73679,0.0140637,0,0.00447142,0.0461591,3.50467,0.148358,0.559473,0.0100047,0.00667418,0.346381,0
8.591383220,2.71251,0.00800924,0,0.0397274,0.0428973,3.47576,0.122482,0.571868,0.00783526,0.00783065,0.360783,0
8.637823129,2.61731,0,0.00111213,0.10291,0.012068,3.55171,0.0844595,0.509555,0.0117649,0.0468092,0.149024,0.0528783
8.684263039,2.55723,0.023974,0.00245953,0.133466,0.00393063,3.55408,0.0928281,0.486406,0.0150957,0.0524566,0.106007,0.0737879
8.730702948,2.42318,0.0016222,0.00255743,0.0951805,0.078943,3.72022,0.0891872,0.497544,0.0168636,0.0475265,0.0506725,0.0578454
8.777142857,2.28422,0.00173735,0.00195292,0.0513159,0.114352,3.74067,0.107687,0.481065,0.094311,0.146239,0.235917,0
8.823582766,2.43675,0.00189215,0.000549743,0.0309455,0.0966284,3.4334,0.111997,0.54694,0.0858345,0.274233,0.556329,0
8.870022676,2.56496,0.00143108,0.000384358,0.0187133,0.0681984,3.30901,0.0929107,0.745858,0.080597,0.312671,0.610951,2.47543e-06
8.916462585,2.64635,0.00117664,0.000214264,0.0170238,0.0690556,3.26199,0.0665907,0.74728,0.0679132,0.274292,0.496798,1.37336e-05
